iter	RMSE
0	0.3943282007
1	0.3928816361
2	0.3915116322
3	0.3901481148
4	0.3887483103
5	0.3873766323
6	0.3860068298
7	0.3846720565
8	0.3834231075
9	0.3821111537
10	0.3807652874
11	0.3794703542
12	0.3781141763
13	0.3768222616
14	0.3754792841
15	0.3742204543
16	0.3728684829
17	0.3716361395
18	0.3703895333
19	0.3691794848
20	0.3679462686
21	0.3665713928
22	0.3652746292
23	0.3640023002
24	0.3627648688
25	0.3614903569
26	0.3601977201
27	0.3589948738
28	0.357749441
29	0.3565098512
30	0.3552091276
31	0.3539417774
32	0.3527359456
33	0.3515638283
34	0.3503670869
35	0.3492146639
36	0.3480281999
37	0.3468160653
38	0.3456438611
39	0.3444147131
40	0.343233948
41	0.3420665375
42	0.3409242409
43	0.3397859576
44	0.3386210154
45	0.33753491
46	0.3364638496
47	0.3353622303
48	0.334195258
49	0.3330191957
50	0.3318477825
51	0.3308277583
52	0.3297512843
53	0.3287134607
54	0.3276219638
55	0.3265153325
56	0.3254807125
57	0.3244608393
58	0.3234391907
59	0.3223657152
60	0.321302992
61	0.3202923049
62	0.3192341593
63	0.3182661465
64	0.31728633
65	0.3161487746
66	0.3151392185
67	0.3141511761
68	0.3131657129
69	0.3121695412
70	0.3111860177
71	0.3101788916
72	0.3091659156
73	0.3081903577
74	0.3071691561
75	0.3061521345
76	0.3051872473
77	0.3042189858
78	0.3032452096
79	0.3022590527
80	0.301295713
81	0.3003385346
82	0.2994423909
83	0.2984867255
84	0.2975500017
85	0.2965848446
86	0.2956381187
87	0.2947417075
88	0.293760943
89	0.2928018176
90	0.2918694158
91	0.2909615842
92	0.2900609175
93	0.2891922938
94	0.2883177226
95	0.2874378452
96	0.2865876644
97	0.2856843073
98	0.284779982
99	0.2838985882
100	0.2830134261
101	0.2821000479
102	0.2811719761
103	0.2802836939
104	0.2794283236
105	0.2785416465
106	0.2776605443
107	0.276815693
108	0.2759806403
109	0.2751315812
110	0.2742835811
111	0.2734484347
112	0.2725984228
113	0.2717381157
114	0.2709071912
115	0.2700706973
116	0.2692375947
117	0.2684489359
118	0.2675962559
119	0.2667991714
120	0.2660064063
121	0.2652305301
122	0.264485946
123	0.2636845692
124	0.2629167581
125	0.2620941251
126	0.2613271584
127	0.2605450763
128	0.2597546872
129	0.2589998325
130	0.2582516623
131	0.2575040895
132	0.2567152683
133	0.2559678415
134	0.2551981042
135	0.2544340001
136	0.2536870823
137	0.2529515689
138	0.2522360129
139	0.2515027529
140	0.2508413826
141	0.2501319228
142	0.2494084823
143	0.2486800713
144	0.2479662972
145	0.2472729929
146	0.2465607939
147	0.2458686949
148	0.245184959
149	0.2444503509
150	0.2437716848
151	0.2430768843
152	0.2423412974
153	0.2416733725
154	0.2409925576
155	0.2402734179
156	0.2396148255
157	0.2389096256
158	0.238228013
159	0.2375985339
160	0.236915374
161	0.2361973037
162	0.2355643402
163	0.2349520107
164	0.2342784421
165	0.2335878346
166	0.2328913469
167	0.2322748973
168	0.2316418703
169	0.2309897136
170	0.2303905669
171	0.2298001085
172	0.2291669597
173	0.2285545737
174	0.2279591538
175	0.227371445
176	0.2267271723
177	0.2261004253
178	0.2254651773
179	0.2248681906
180	0.2242638192
181	0.2236386768
182	0.2230371682
183	0.2224465324
184	0.2218465471
185	0.2212533373
186	0.2206257369
187	0.2200902613
188	0.2195209105
189	0.2189710809
190	0.218388277
191	0.2177848856
192	0.2172269268
193	0.2166499582
194	0.2160631334
195	0.2154842179
196	0.2148859861
197	0.2143313143
198	0.2137844773
199	0.2132356307
200	0.2126654386
201	0.2121598272
202	0.2116478999
203	0.2111068504
204	0.2105812924
205	0.2100299038
206	0.2094552199
207	0.2089141969
208	0.208385765
209	0.2078831751
210	0.2073734744
211	0.2068887179
212	0.2063496628
213	0.2058500826
214	0.205376857
215	0.2048632322
216	0.2043474785
217	0.2038280982
218	0.2033502001
219	0.2028549046
220	0.2023909018
221	0.2019132362
222	0.2014658582
223	0.2009881167
224	0.2004915635
225	0.2000091179
226	0.1995352539
227	0.1990273198
228	0.1985333081
229	0.1980257254
230	0.1975694958
231	0.1971198003
232	0.1966589937
233	0.196191137
234	0.1957175701
235	0.1952145586
236	0.1947313289
237	0.1942560543
238	0.1937947028
239	0.1933158007
240	0.192874378
241	0.1924071858
242	0.1919505785
243	0.1914805283
244	0.1910559434
245	0.1906195252
246	0.190144281
247	0.1896671844
248	0.1892039924
249	0.1888081697
250	0.1883683947
251	0.1879404088
252	0.1875011238
253	0.187066539
254	0.1866498431
255	0.1862277327
256	0.1857792221
257	0.1853504779
258	0.1849090984
259	0.1844889438
260	0.1840299068
261	0.1835845806
262	0.1831990694
263	0.1827622264
264	0.1823656286
265	0.1819455284
266	0.1815583709
267	0.1811671453
268	0.1807873699
269	0.1804067872
270	0.1799935981
271	0.1795755943
272	0.1792000399
273	0.1787937613
274	0.1784421514
275	0.1780396928
276	0.1776568063
277	0.1772999569
278	0.1769419127
279	0.1765562167
280	0.1761964543
281	0.175826491
282	0.1754663708
283	0.1751432554
284	0.1747247763
285	0.174342885
286	0.1739983825
287	0.173621247
288	0.1732409464
289	0.1728841767
290	0.1725519151
291	0.1721934253
292	0.1718535586
293	0.1714767897
294	0.1711371477
295	0.1707700381
296	0.170419648
297	0.1700917365
298	0.1697403755
299	0.1693782734
300	0.1690302401
301	0.1686859117
302	0.1683667316
303	0.1680608113
304	0.1677395091
305	0.167406446
306	0.1670823383
307	0.1667587256
308	0.1663994494
309	0.1660531889
310	0.1657295938
311	0.1654071787
312	0.1650645153
313	0.1647801561
314	0.1644607558
315	0.164130117
316	0.1638101239
317	0.1635059874
318	0.1632040068
319	0.1628849379
320	0.1625631321
321	0.1622607732
322	0.1619330338
323	0.1616441958
324	0.1613503994
325	0.1610428692
326	0.1607439637
327	0.1604408405
328	0.1601569708
329	0.1598589601
330	0.1595568273
331	0.1592536207
332	0.1589509269
333	0.1586425443
334	0.1583401553
335	0.1580374368
336	0.157741637
337	0.1574561903
338	0.1571450554
339	0.1568692832
340	0.1565856313
341	0.1563074942
342	0.1560421076
343	0.1557772726
344	0.1554722203
345	0.1551958347
346	0.1549224128
347	0.1546314424
348	0.1543356789
349	0.1540708484
350	0.1537969735
351	0.1535302272
352	0.1532572593
353	0.1529772091
354	0.1527228572
355	0.152423322
356	0.1521758429
357	0.1519237772
358	0.151651185
359	0.1513932611
360	0.1511355266
361	0.1508856711
362	0.1506131967
363	0.1503747529
364	0.1501196277
365	0.1498688578
366	0.1496171177
367	0.1493521743
368	0.1490647803
369	0.1488204039
370	0.1485688402
371	0.1483218843
372	0.1480815684
373	0.1478142422
374	0.1475734566
375	0.1473346329
376	0.1470730426
377	0.146806832
378	0.1465699503
379	0.1463154965
380	0.14607624
381	0.1458165861
382	0.145564459
383	0.145330339
384	0.1451101008
385	0.1448659649
386	0.1446495066
387	0.1444111137
388	0.144182936
389	0.1439498385
390	0.1437403403
391	0.1435050659
392	0.1432685955
393	0.1430388756
394	0.1428280536
395	0.1426123808
396	0.1423717419
397	0.1421540815
398	0.1419459762
399	0.1417423793
400	0.1415457426
401	0.1412988488
402	0.1410735515
403	0.1408416514
404	0.1406483238
405	0.140445062
406	0.1402404527
407	0.1400169984
408	0.1398063298
409	0.1395853553
410	0.1393408295
411	0.1391191195
412	0.1388986338
413	0.1386860986
414	0.1384792044
415	0.1382621167
416	0.1380547056
417	0.1378431316
418	0.1376412216
419	0.1374383524
420	0.1372460686
421	0.1370635229
422	0.136871711
423	0.1366636998
424	0.1364797055
425	0.1362888106
426	0.136104633
427	0.1359128117
428	0.1357176556
429	0.1355063867
430	0.1353299044
431	0.1351408403
432	0.134950299
433	0.1347530849
434	0.1345603172
435	0.1343600309
436	0.13415302
437	0.1339685879
438	0.133771765
439	0.1335785759
440	0.1333912027
441	0.1331900944
442	0.1330043141
443	0.1328063273
444	0.132634697
445	0.1324637454
446	0.1322885278
447	0.1321039957
448	0.1319129119
449	0.131729238
450	0.1315518651
451	0.131377814
452	0.1311735902
453	0.1309917901
454	0.1308093958
455	0.1306117698
456	0.1304461669
457	0.1302751904
458	0.1300994121
459	0.1299398906
460	0.1297819001
461	0.1296270225
462	0.1294459942
463	0.1292613063
464	0.1290665272
465	0.1288796162
466	0.1287100159
467	0.1285606673
468	0.1283882149
469	0.1282073206
470	0.1280497281
471	0.127885705
472	0.1277643968
473	0.1275904358
474	0.1274150859
475	0.127249603
476	0.1270934741
477	0.1269296337
478	0.1267816399
479	0.1266193012
480	0.1264565844
481	0.126306004
482	0.1261637039
483	0.1260049664
484	0.1258572384
485	0.1257101447
486	0.1255487611
487	0.1253998377
488	0.1252572067
489	0.1250791553
490	0.1249355704
491	0.1247907883
492	0.1246495825
493	0.1245090309
494	0.1243556744
495	0.1241987575
496	0.124065833
497	0.1239213792
498	0.123779866
499	0.1236325751
500	0.1234876391
501	0.1233375588
502	0.1231980942
503	0.1230662142
504	0.1229279959
505	0.122775644
506	0.1226385205
507	0.122495135
508	0.1223515265
509	0.122193485
510	0.1220667007
511	0.1219313773
512	0.1217850517
513	0.1216559526
514	0.1215303285
515	0.1213912386
516	0.121239966
517	0.12110309
518	0.1209798435
519	0.1208495269
520	0.1207125104
521	0.1205959639
522	0.1204552767
523	0.1203160555
524	0.120188159
525	0.1200571184
526	0.1199223418
527	0.119799036
528	0.1196598769
529	0.1195303161
530	0.1193957604
531	0.1192605428
532	0.1191467682
533	0.1190148674
534	0.1188889241
535	0.1187660559
536	0.1186398816
537	0.1185164268
538	0.1183922899
539	0.1182469088
540	0.1181148885
541	0.1179830611
542	0.1178569584
543	0.1177530909
544	0.1176155706
545	0.1174958037
546	0.1173649512
547	0.1172317355
548	0.1171115418
549	0.1169807209
550	0.1168624271
551	0.1167511737
552	0.1166308107
553	0.1165214995
554	0.1163968236
555	0.1162868284
556	0.1161607665
557	0.1160399667
558	0.1159239314
559	0.1157969286
560	0.1156797241
561	0.1155751465
562	0.1154587965
563	0.1153410839
564	0.1152316832
565	0.115140116
566	0.1150289212
567	0.1149254372
568	0.1147939418
569	0.1146895097
570	0.1145576138
571	0.114434641
572	0.114320178
573	0.1141981417
574	0.1140897385
575	0.1139792363
576	0.1138707395
577	0.1137661178
578	0.1136573711
579	0.1135319088
580	0.1134319877
581	0.1133247841
582	0.1132197083
583	0.1131187058
584	0.1130030702
585	0.1128943153
586	0.1127914193
587	0.1126783677
588	0.1125579806
589	0.1124464325
590	0.1123436182
591	0.1122561643
592	0.1121474354
593	0.1120408285
594	0.1119355617
595	0.1118402301
596	0.1117296987
597	0.1116350399
598	0.1115262304
599	0.1114325913
600	0.1113565518
601	0.1112592699
602	0.1111529033
603	0.1110387609
604	0.1109249991
605	0.110839784
606	0.110743231
607	0.1106371362
608	0.1105684235
609	0.1104700246
610	0.1103750894
611	0.1102727153
612	0.1101952292
613	0.1100910081
614	0.109985699
615	0.1098846492
616	0.109788823
617	0.1096744302
618	0.1095868629
619	0.1094927684
620	0.1093922493
621	0.1092943033
622	0.1092152541
623	0.109128747
624	0.109032634
625	0.1089403913
626	0.1088579646
627	0.1087744923
628	0.1086721326
629	0.1085794695
630	0.1084861823
631	0.1083936183
632	0.1083147373
633	0.1082126139
634	0.1081176259
635	0.1080380238
636	0.1079560193
637	0.1078858577
638	0.1078172771
639	0.1077277025
640	0.1076484652
641	0.1075592002
642	0.1074701184
643	0.1073889097
644	0.1072994024
645	0.1072072348
646	0.1070931374
647	0.1069981
648	0.1069134928
649	0.1068003429
650	0.1067154702
651	0.1066316305
652	0.106559769
653	0.1064664175
654	0.1063721987
655	0.1062802819
656	0.1061994758
657	0.1061137186
658	0.1060263404
659	0.1059401945
660	0.1058467811
661	0.1057587577
662	0.1056829422
663	0.1056074473
664	0.1055368144
665	0.1054490682
666	0.1053596061
667	0.1052977383
668	0.1052269411
669	0.1051405297
670	0.1050520958
671	0.1049769258
672	0.1048853847
673	0.1048088414
674	0.1047448965
675	0.1046585093
676	0.1045795737
677	0.1045008257
678	0.1044178094
679	0.104334492
680	0.1042511219
681	0.1041774556
682	0.1041092111
683	0.1040154172
684	0.1039290043
685	0.1038457481
686	0.1037640463
687	0.1036910041
688	0.1036164771
689	0.1035282104
690	0.1034314102
691	0.1033535682
692	0.1032730146
693	0.1031981653
694	0.1031071524
695	0.1030238799
696	0.1029468459
697	0.102863397
698	0.1027853385
699	0.1027243726
700	0.1026421591
701	0.1025731944
702	0.1024919337
703	0.1024320929
704	0.1023604501
705	0.1022815294
706	0.1022101339
707	0.1021319841
