iter	Passed	Remaining
0	11	53737
1	21	48276
2	30	45584
3	40	45168
4	49	44925
5	59	44606
6	69	44543
7	77	43470
8	84	42322
9	92	41504
10	100	40916
11	107	40285
12	114	39535
13	121	38993
14	129	38741
15	139	39069
16	146	38613
17	156	38882
18	167	39505
19	170	38223
20	178	38128
21	186	38042
22	195	38020
23	203	37934
24	212	38058
25	220	37888
26	228	37867
27	233	37253
28	240	37125
29	250	37329
30	259	37449
31	269	37660
32	278	37711
33	286	37566
34	294	37532
35	304	37746
36	312	37738
37	321	37769
38	332	38057
39	341	38029
40	349	38028
41	358	38041
42	368	38163
43	376	38178
44	386	38241
45	398	38552
46	409	38784
47	420	38981
48	433	39357
49	444	39519
50	459	40075
51	470	40226
52	482	40462
53	491	40457
54	499	40399
55	510	40493
56	519	40503
57	532	40754
58	544	40954
59	553	40934
60	564	41090
61	573	41054
62	582	41001
63	592	41055
64	601	41032
65	610	41006
66	618	40939
67	626	40857
68	638	40990
69	646	40887
70	653	40792
71	661	40669
72	667	40491
73	673	40309
74	680	40127
75	686	39964
76	692	39806
77	699	39652
78	709	39699
79	717	39632
80	724	39540
81	732	39449
82	738	39313
83	745	39174
84	751	39052
85	758	38931
86	765	38822
87	771	38684
88	778	38559
89	785	38482
90	791	38362
91	797	38228
92	803	38084
93	810	37982
94	816	37865
95	823	37765
96	829	37663
97	836	37560
98	842	37452
99	848	37340
100	855	37243
101	861	37154
102	875	37375
103	883	37363
104	892	37344
105	902	37429
106	912	37450
107	918	37354
108	925	37263
109	931	37174
110	937	37084
111	944	36995
112	952	36969
113	958	36877
114	965	36812
115	972	36766
116	979	36689
117	986	36626
118	993	36590
119	1000	36509
120	1007	36450
121	1014	36407
122	1022	36372
123	1028	36290
124	1034	36211
125	1041	36157
126	1048	36117
127	1055	36060
128	1062	36011
129	1069	35948
130	1076	35888
131	1082	35827
132	1089	35771
133	1098	35792
134	1106	35770
135	1114	35751
136	1121	35726
137	1128	35678
138	1135	35611
139	1141	35548
140	1150	35577
141	1157	35519
142	1164	35476
143	1171	35445
144	1178	35384
145	1185	35359
146	1192	35298
147	1198	35236
148	1204	35179
149	1212	35151
150	1219	35122
151	1226	35093
152	1233	35032
153	1239	34969
154	1246	34949
155	1254	34940
156	1261	34895
157	1268	34852
158	1274	34798
159	1281	34766
160	1287	34700
161	1294	34668
162	1301	34632
163	1309	34610
164	1315	34567
165	1321	34513
166	1328	34456
167	1334	34416
168	1341	34378
169	1348	34337
170	1354	34302
171	1361	34264
172	1368	34232
173	1375	34185
174	1381	34140
175	1387	34095
176	1396	34097
177	1404	34091
178	1411	34080
179	1419	34062
180	1430	34126
181	1437	34110
182	1444	34069
183	1450	34032
184	1457	33993
185	1464	33957
186	1470	33912
187	1476	33861
188	1483	33844
189	1490	33820
190	1499	33828
191	1506	33810
192	1514	33801
193	1523	33815
194	1531	33803
195	1539	33798
196	1547	33809
197	1557	33839
198	1565	33832
199	1574	33845
200	1581	33826
201	1590	33844
202	1599	33865
203	1608	33863
204	1616	33863
205	1625	33873
206	1634	33896
207	1645	33964
208	1653	33953
209	1661	33943
210	1671	33967
211	1678	33954
212	1686	33939
213	1695	33953
214	1705	33981
215	1713	33988
216	1723	34015
217	1732	34034
218	1741	34036
219	1750	34049
220	1759	34058
221	1768	34069
222	1777	34095
223	1786	34104
224	1795	34118
225	1804	34131
226	1813	34141
227	1823	34167
228	1832	34172
229	1840	34161
230	1847	34145
231	1857	34178
232	1865	34170
233	1873	34159
234	1882	34165
235	1891	34168
236	1899	34174
237	1908	34176
238	1917	34179
239	1926	34187
240	1935	34203
241	1944	34215
242	1953	34227
243	1963	34250
244	1973	34273
245	1982	34278
246	1991	34290
247	2000	34293
248	2009	34298
249	2017	34300
250	2025	34292
251	2034	34303
252	2043	34300
253	2051	34301
254	2059	34287
255	2067	34271
256	2076	34274
257	2083	34263
258	2092	34268
259	2100	34255
260	2109	34253
261	2117	34249
262	2125	34249
263	2135	34261
264	2142	34239
265	2149	34218
266	2158	34218
267	2167	34228
268	2176	34229
269	2184	34225
270	2192	34213
271	2200	34201
272	2208	34194
273	2216	34183
274	2224	34179
275	2234	34202
276	2242	34184
277	2250	34172
278	2257	34153
279	2265	34149
280	2276	34180
281	2284	34164
282	2293	34168
283	2301	34164
284	2310	34164
285	2318	34154
286	2327	34159
287	2335	34163
288	2344	34165
289	2353	34164
290	2361	34158
291	2369	34149
292	2377	34140
293	2385	34131
294	2394	34132
295	2403	34131
296	2412	34146
297	2421	34150
298	2430	34144
